Aasta,Kuu,Pärnu,Narva,Tartu-Tõravere,Tiirikoja,Haapsalu,Tallinn-Harku,Roomassaare,Vilsandi
2010,1,58.92,30.63,60.83,47.6,,33.63,55.980000000000004,50.96
2010,2,102.02,72.29,101.99000000000001,87.27,,76.67,113.14,89.82000000000001
2010,3,257.47,228.57,261.05,245.34,,223.9,286.12,253.38
2010,4,389.76,391.44,414.59000000000003,392.39,,346.79,420.46000000000004,393.23
2010,5,556.35,513.85,529.05,525.33,,452.88,578.85,
2010,6,591.78,578.24,551.27,541.2,609.34,565.34,655.82,
2010,7,684.83,690.37,682.24,670.79,662.54,618.11,689.4,677.98
2010,8,460.8,466.54,443.27,424.11,445.74,388.51,456.99,445.98
2010,9,212.17,236.54,242.12,224.45000000000002,232.61,176.1,281.57,276.2
2010,10,152.93,118.82,158.53,140.49,147.53,120.11,180.57,168.56
2010,11,33.24,29.49,41.300000000000004,30.27,34.78,17.150000000000002,43.71,42.25
2010,12,17.25,16.86,28.080000000000002,18.48,18.62,6.53,,21.02
2011,1,29.7,23.27,40.1,32.230000000000004,34.05,13.3,,38.99
2011,2,135.28,108.06,142.72,128.15,129.78,103.27,155.34,148.92000000000002
2011,3,287.78,268.17,293.35,281.79,282.22,251.15,341.44,301.89
2011,4,422.45,465.91,461.51,449.67,430.21000000000004,381.40000000000003,,454.11
2011,5,546.46,599.52,586.33,571.32,561.45,527.96,,624.0
2011,6,671.14,644.8,678.02,649.99,680.47,589.4,,715.99
2011,7,564.3,582.57,589.12,603.5600000000001,582.35,497.44,672.26,625.38
2011,8,472.59,443.95,458.63,436.23,485.94,421.53000000000003,509.76,497.58
2011,9,261.74,251.93,290.66,255.69,254.16,199.77,310.76,296.71
2011,10,126.41,109.95,148.82,123.88000000000001,141.99,98.5,176.16,163.32
2011,11,33.92,23.96,46.88,32.29,32.61,21.91,,48.160000000000004
2011,12,19.63,12.79,22.650000000000002,13.18,16.47,17.47,,19.92
2012,1,41.5,28.21,45.18,30.150000000000002,34.27,34.550000000000004,,41.86
2012,2,118.36,85.12,123.68,111.7,95.51,98.35000000000001,123.83,114.05
2012,3,265.98,238.42,239.22,241.59,259.03000000000003,242.67000000000002,278.99,277.11
2012,4,381.57,390.81,394.29,374.38,367.63,386.96000000000004,409.21000000000004,403.42
2012,5,605.57,643.18,596.74,584.58,630.96,632.87,684.46,671.07
2012,6,628.18,593.47,604.58,550.77,563.3000000000001,580.16,649.48,631.69
2012,7,601.69,569.58,605.87,568.4300000000001,555.88,564.08,613.66,631.75
2012,8,452.7,400.95,401.66,392.79,449.08,447.57,495.01,497.37
2012,9,254.25,239.73,257.94,240.69,229.91,227.86,258.94,254.54
2012,10,114.94,98.8,113.34,95.07000000000001,110.66,105.65,136.25,124.81
2012,11,38.03,27.56,37.910000000000004,30.07,30.66,34.84,42.85,39.14
2012,12,24.27,17.25,30.060000000000002,18.91,16.86,20.04,17.62,17.73
2013,1,40.14,27.35,44.38,37.14,29.54,32.4,41.68,38.31
2013,2,108.08,76.42,102.43,89.59,90.12,87.85000000000001,119.48,97.02
2013,3,380.19,347.07,370.8,357.1,351.33,347.17,388.77,347.86
2013,4,432.88,395.25,416.07,419.09000000000003,425.91,415.82,474.26,443.01
2013,5,613.59,561.75,603.13,589.25,609.3100000000001,595.99,651.11,634.66
2013,6,663.18,645.83,632.29,630.49,643.03,624.57,706.5600000000001,679.91
2013,7,606.98,615.85,607.49,612.82,608.78,632.78,658.02,654.22
2013,8,511.76,461.56,499.95,486.71000000000004,517.29,474.55,564.46,557.37
2013,9,326.22,297.29,326.72,314.57,306.61,290.90000000000003,331.59000000000003,317.53000000000003
2013,10,118.35,102.14,125.75,118.75,127.32000000000001,126.7,138.27,151.95000000000002
2013,11,39.3,27.13,37.4,35.52,39.42,44.910000000000004,48.79,49.85
2013,12,16.4,,21.56,19.21,14.35,17.0,21.29,22.830000000000002
2014,1,58.78,,59.4,46.0,45.980000000000004,44.11,41.31,55.61
2014,2,62.51,68.02,74.09,69.44,54.46,56.550000000000004,84.82000000000001,91.10000000000001
2014,3,266.91,256.66,274.33,263.9,251.48000000000002,282.75,,274.14
2014,4,487.9,509.72,516.42,490.93,469.56,485.40000000000003,506.40000000000003,500.27000000000004
2014,5,534.95,526.8,523.67,518.36,495.12,489.89,554.66,575.8000000000001
2014,6,516.51,551.2,485.56,520.82,550.61,501.38,598.1800000000001,623.41
2014,7,687.64,722.44,655.26,692.28,683.0600000000001,683.86,750.34,743.34
2014,8,480.73,470.16,470.24,470.96000000000004,457.24,467.31,500.06,501.44
2014,9,327.27,320.71,336.31,334.34000000000003,296.1,294.7,366.75,357.77
2014,10,128.17,134.96,131.8,125.77,126.45,123.31,128.14000000000001,
2014,11,26.65,29.07,39.76,28.09,21.09,24.51,23.77,25.92
2014,12,17.9,16.78,22.0,20.32,15.860000000000001,13.3,24.76,22.76
2015,1,29.47,26.61,32.96,33.61,26.22,21.81,32.92,29.61
2015,2,76.03,,88.7,87.60000000000001,73.75,72.39,86.35000000000001,84.06
2015,3,212.35,,232.24,231.05,214.01,216.04,243.57,252.12
2015,4,341.57,354.18,343.56,335.38,361.6,367.96,421.6,423.31
2015,5,541.96,549.6,540.19,527.2,546.73,573.28,599.73,599.97
2015,6,663.91,653.28,622.6,609.53,614.14,604.46,706.0,680.11
2015,7,558.29,575.25,561.39,548.5600000000001,574.63,566.59,613.33,621.87
2015,8,579.81,559.6,566.3000000000001,568.76,582.92,589.42,609.13,604.1800000000001
2015,9,288.84,263.04,268.08,258.3,257.29,252.79,307.8,301.46
2015,10,172.31,155.04,165.23,161.14000000000001,168.21,159.65,197.06,189.59
2015,11,35.58,37.52,44.63,37.52,33.21,36.77,51.68,44.35
2015,12,21.33,15.88,25.71,22.92,19.25,20.71,28.71,24.78
2016,1,40.9,38.95,44.300000000000004,40.39,32.69,33.55,37.26,32.32
2016,2,73.79,83.43,82.68,87.34,72.26,77.02,94.89,93.53
2016,3,261.21,249.32,260.41,266.62,234.76,245.8,228.48000000000002,234.13
2016,4,398.52,354.81,397.79,385.43,386.0,390.24,427.3,438.74
2016,5,720.23,,713.59,725.1,685.33,711.58,728.6,692.49
2016,6,609.41,600.76,591.75,560.79,610.59,608.26,666.3100000000001,682.03
2016,7,563.83,492.73,539.49,514.4300000000001,586.57,582.9300000000001,642.58,665.42
2016,8,420.02,379.0,417.03000000000003,389.42,419.54,390.14,455.74,470.13
2016,9,311.86,282.3,308.97,299.11,308.01,298.12,333.83,316.76
2016,10,137.54,,115.47,117.3,133.71,115.0,134.15,143.31
2016,11,42.29,29.58,41.47,34.84,37.36,34.69,,50.06
2016,12,17.13,15.39,20.93,19.88,16.06,17.64,26.68,25.34
2017,1,28.54,30.11,36.19,33.25,26.79,26.63,29.560000000000002,29.330000000000002
2017,2,90.66,80.39,92.38,90.48,84.43,90.03,91.75,98.91
2017,3,208.69,242.3,226.48000000000002,234.47,213.75,212.63,235.97,242.66
2017,4,370.48,376.98,370.21,362.61,408.68,414.07,413.89,464.48
2017,5,654.4,656.44,638.98,618.3100000000001,664.35,675.21,693.24,695.28
2017,6,627.22,618.67,619.38,582.91,629.13,630.1800000000001,667.16,669.53
2017,7,582.48,585.61,549.4300000000001,531.98,604.5600000000001,619.7,638.85,668.83
2017,8,467.53,420.96,463.16,445.93,451.19,438.22,498.66,490.57
2017,9,245.83,234.32,237.45000000000002,228.14000000000001,247.03,250.51000000000002,261.5,273.2
2017,10,109.54,88.07,116.44,93.38,100.42,98.56,133.8,134.49
2017,11,41.13,33.02,42.14,37.08,35.85,35.74,49.38,47.0
2017,12,18.92,15.0,24.92,16.21,13.66,17.830000000000002,20.580000000000002,20.18
2018,1,26.88,23.73,33.32,,21.73,28.59,29.23,30.79
2018,2,121.37,107.52,128.57,115.66,101.55,102.26,118.01,104.16
2018,3,261.86,276.57,270.81,276.05,255.11,273.88,288.08,266.63
2018,4,420.46,374.19,364.28000000000003,353.47,397.49,402.40000000000003,467.65000000000003,456.42
2018,5,737.47,726.16,740.17,725.74,682.09,738.9,762.14,763.3000000000001
2018,6,662.57,646.1,643.12,637.95,652.59,676.64,695.92,701.14
2018,7,610.28,580.64,592.8100000000001,605.01,622.82,639.71,671.41,679.64
2018,8,485.03,488.21,482.38,464.94,485.0,461.39,499.24,496.5
2018,9,290.11,269.67,311.0,,279.07,280.18,310.82,297.92
2018,10,133.11,119.28,140.03,,123.85000000000001,134.69,158.16,143.94
2018,11,33.33,27.46,35.56,,31.580000000000002,34.730000000000004,36.56,37.22
2018,12,13.19,13.9,20.88,16.240000000000002,12.450000000000001,13.92,14.88,17.57
2019,1,35.89,34.95,45.28,42.480000000000004,31.720000000000002,33.96,,34.72
2019,2,88.9,91.21,98.79,94.60000000000001,85.44,86.35000000000001,104.08,100.04
2019,3,240.5,240.25,257.14,247.3,230.68,238.72,223.33,206.71
2019,4,516.42,523.55,521.94,518.33,484.26,500.11,524.85,499.72
2019,5,591.65,531.44,529.52,510.45,578.22,555.34,619.9,609.84
2019,6,725.82,703.41,701.24,673.51,680.37,696.44,710.1800000000001,685.92
2019,7,612.02,543.04,572.44,567.1,628.47,682.36,649.1,676.99
2019,8,526.82,497.91,492.64,477.3,507.17,497.32,521.2,530.83
2019,9,307.67,265.16,325.59000000000003,288.3,285.35,286.59000000000003,305.36,277.84000000000003
2019,10,118.43,90.16,120.91,105.65,104.73,100.77,133.78,116.75
2019,11,33.19,25.52,36.08,31.11,25.12,29.51,29.84,34.230000000000004
2019,12,18.73,11.65,21.72,18.76,15.19,15.57,19.73,19.27
2020,1,26.27,22.78,27.37,25.6,24.990000000000002,26.25,32.2,32.74
2020,2,82.14,79.99,87.61,82.24,75.62,78.94,92.42,93.34
2020,3,279.24,285.08,297.65000000000003,288.39,237.55,251.66,279.82,267.82
2020,4,453.74,423.25,404.40000000000003,395.21000000000004,456.11,480.24,501.37,506.90000000000003
2020,5,632.0,643.7,629.08,635.65,618.17,662.52,655.22,666.0
2020,6,663.59,657.87,619.38,660.08,662.8000000000001,692.5,694.82,699.34
2020,7,665.96,584.27,586.74,590.53,640.99,614.15,683.5,675.34
2020,8,517.61,471.55,470.7,462.53000000000003,519.38,506.53000000000003,539.38,552.96
2020,9,281.06,268.9,282.16,281.07,258.7,259.35,278.39,269.04
2020,10,147.78,116.9,129.82,126.69,122.68,125.44,151.62,136.96
2020,11,38.14,44.31,38.22,44.84,29.580000000000002,37.81,44.49,41.52
2020,12,14.39,13.79,20.17,16.71,10.76,13.07,17.400000000000002,16.01
